iter	Passed	Remaining
593	1564	1069
594	1567	1067
595	1571	1065
596	1575	1063
597	1578	1061
598	1582	1059
599	1586	1057
600	1589	1055
601	1592	1053
602	1596	1050
603	1599	1048
604	1603	1046
605	1606	1044
606	1610	1042
607	1613	1040
608	1616	1038
609	1620	1035
610	1623	1033
611	1627	1031
612	1629	1028
613	1633	1027
614	1636	1024
615	1639	1022
616	1642	1019
617	1645	1017
618	1649	1015
619	1652	1012
620	1655	1010
621	1658	1008
622	1662	1006
623	1666	1003
624	1669	1001
625	1673	999
626	1676	997
627	1680	995
628	1683	993
629	1687	991
630	1690	988
631	1694	986
632	1697	984
633	1701	982
634	1704	979
635	1708	977
636	1711	975
637	1715	973
638	1719	971
639	1723	969
640	1727	967
641	1730	965
642	1733	962
643	1736	960
644	1740	957
645	1743	955
646	1746	953
647	1749	950
648	1753	948
649	1756	946
650	1760	943
651	1763	941
652	1766	938
653	1770	936
654	1773	934
655	1777	932
656	1780	929
657	1784	927
658	1787	924
659	1790	922
660	1793	919
661	1796	917
662	1799	914
663	1803	912
664	1806	909
665	1809	907
666	1812	904
667	1816	902
668	1820	900
669	1823	898
670	1827	895
671	1830	893
672	1833	891
673	1837	888
674	1841	886
675	1844	884
676	1848	881
677	1851	879
678	1855	876
679	1858	874
680	1861	871
681	1864	869
682	1868	866
683	1871	864
684	1874	862
685	1879	860
686	1883	858
687	1886	855
688	1889	853
689	1893	850
690	1896	848
691	1901	846
692	1905	844
693	1908	841
694	1912	839
695	1915	836
696	1919	834
697	1922	831
698	1925	829
699	1929	826
700	1932	824
701	1936	822
702	1939	819
703	1942	816
704	1946	814
705	1949	811
706	1953	809
707	1958	807
708	1961	805
709	1965	802
710	1968	800
711	1972	797
712	1975	795
713	1979	792
714	1982	790
715	1986	787
716	1989	785
717	1993	782
718	1996	780
719	2000	777
720	2003	775
721	2007	772
722	2010	770
723	2014	767
724	2017	765
725	2020	762
726	2024	760
727	2027	757
728	2031	755
729	2034	752
730	2038	750
731	2041	747
732	2044	744
733	2047	742
734	2051	739
735	2054	737
736	2058	734
737	2061	731
738	2065	729
739	2068	726
740	2072	724
741	2076	721
742	2080	719
743	2084	717
744	2087	714
745	2091	712
746	2095	709
747	2098	707
748	2102	704
749	2105	701
750	2109	699
751	2113	697
752	2116	694
753	2120	691
754	2124	689
755	2127	686
756	2131	684
757	2134	681
758	2138	679
759	2143	676
760	2147	674
761	2151	671
762	2154	669
763	2159	666
764	2162	664
765	2165	661
766	2168	658
767	2172	656
768	2175	653
769	2179	651
770	2183	648
771	2187	645
772	2190	643
773	2194	640
774	2198	638
775	2202	635
776	2206	633
777	2210	630
778	2214	628
779	2217	625
780	2220	622
781	2223	619
782	2227	617
783	2230	614
784	2234	611
785	2237	609
786	2241	606
787	2244	603
